,mechanic,year,average_rank,amount
746,Variable Phase Order,2007,5978.0,10
747,Variable Phase Order,2008,5447.0,10
748,Variable Phase Order,2009,2100.0,7
749,Variable Phase Order,2010,7722.0,13
750,Variable Phase Order,2011,5240.0,18
751,Variable Phase Order,2012,2376.0,17
752,Variable Phase Order,2013,6490.0,17
753,Variable Phase Order,2014,5862.0,27
754,Variable Phase Order,2015,4709.0,17
755,Variable Phase Order,2016,4597.0,28
756,Variable Phase Order,2017,3765.0,21
757,Variable Phase Order,2018,4340.0,20
758,Variable Phase Order,2019,3631.0,5
759,Variable Phase Order,2020,3631.0,0
760,Variable Player Powers,1981,9433.0,6
761,Variable Player Powers,1982,7448.0,7
762,Variable Player Powers,1983,4883.0,9
763,Variable Player Powers,1984,10420.0,2
764,Variable Player Powers,1985,4437.0,7
765,Variable Player Powers,1986,6944.0,6
766,Variable Player Powers,1987,4358.0,5
767,Variable Player Powers,1988,8891.0,3
768,Variable Player Powers,1989,6129.0,9
769,Variable Player Powers,1990,3874.0,7
770,Variable Player Powers,1991,9125.0,9
771,Variable Player Powers,1992,6158.0,8
772,Variable Player Powers,1993,7704.0,11
773,Variable Player Powers,1994,7938.0,12
774,Variable Player Powers,1995,8153.0,14
775,Variable Player Powers,1996,10474.0,11
776,Variable Player Powers,1997,8496.0,16
777,Variable Player Powers,1998,10115.0,14
778,Variable Player Powers,1999,5800.0,12
779,Variable Player Powers,2000,8202.0,23
780,Variable Player Powers,2001,9024.0,21
781,Variable Player Powers,2002,6113.0,31
782,Variable Player Powers,2003,7410.0,34
783,Variable Player Powers,2004,7366.0,50
784,Variable Player Powers,2005,6801.0,36
785,Variable Player Powers,2006,7867.0,44
786,Variable Player Powers,2007,8345.0,46
787,Variable Player Powers,2008,6499.0,41
788,Variable Player Powers,2009,6076.0,58
789,Variable Player Powers,2010,4991.0,66
790,Variable Player Powers,2011,5493.0,82
791,Variable Player Powers,2012,5201.0,102
792,Variable Player Powers,2013,5520.0,132
793,Variable Player Powers,2014,6076.0,137
794,Variable Player Powers,2015,5186.0,201
795,Variable Player Powers,2016,5647.0,198
796,Variable Player Powers,2017,5169.0,220
797,Variable Player Powers,2018,5448.0,197
798,Variable Player Powers,2019,6568.0,53
799,Variable Player Powers,2020,10428.0,3
800,Worker Placement,1981,0,0
801,Worker Placement,1982,0,0
802,Worker Placement,1983,0,0
803,Worker Placement,1984,0,0
804,Worker Placement,1985,0,0
805,Worker Placement,1986,0,0
806,Worker Placement,1987,0,0
807,Worker Placement,1988,0,0
808,Worker Placement,1989,0,0
809,Worker Placement,1990,0,0
810,Worker Placement,1991,1565.0,1
811,Worker Placement,1992,1565.0,0
812,Worker Placement,1993,1565.0,0
813,Worker Placement,1994,1565.0,0
814,Worker Placement,1995,13476.0,1
815,Worker Placement,1996,8964.0,1
816,Worker Placement,1997,8964.0,0
817,Worker Placement,1998,7444.0,1
818,Worker Placement,1999,8934.0,2
819,Worker Placement,2000,6162.0,3
820,Worker Placement,2001,6162.0,0
821,Worker Placement,2002,782.0,1
822,Worker Placement,2003,2608.0,1
823,Worker Placement,2004,2132.0,1
824,Worker Placement,2005,816.0,3
825,Worker Placement,2006,681.0,2
826,Worker Placement,2007,1316.0,7
827,Worker Placement,2008,3066.0,12
828,Worker Placement,2009,1898.0,12
829,Worker Placement,2010,3262.0,24
830,Worker Placement,2011,3844.0,37
831,Worker Placement,2012,4188.0,41
832,Worker Placement,2013,4833.0,51
833,Worker Placement,2014,4479.0,44
834,Worker Placement,2015,3741.0,64
835,Worker Placement,2016,5285.0,70
836,Worker Placement,2017,4824.0,88
837,Worker Placement,2018,4682.0,75
838,Worker Placement,2019,5483.0,22
839,Worker Placement,2020,5483.0,0
