,mechanic,year,average_rank,amount
730,Take That,1991,16001.0,1
731,Take That,1992,3798.0,2
732,Take That,1993,7175.0,3
733,Take That,1994,1047.0,1
734,Take That,1995,2549.0,1
735,Take That,1996,10874.0,3
736,Take That,1997,3491.0,1
737,Take That,1998,5956.0,5
738,Take That,1999,11550.0,2
739,Take That,2000,15288.0,4
740,Take That,2001,11669.0,5
741,Take That,2002,6169.0,9
742,Take That,2003,9532.0,5
743,Take That,2004,9167.0,11
744,Take That,2005,5977.0,6
745,Take That,2006,8445.0,8
746,Take That,2007,5842.0,10
747,Take That,2008,5726.0,6
748,Take That,2009,4917.0,5
749,Take That,2010,5550.0,8
750,Take That,2011,5843.0,11
751,Take That,2012,5318.0,27
752,Take That,2013,7413.0,42
753,Take That,2014,8315.0,66
754,Take That,2015,7605.0,88
755,Take That,2016,8443.0,102
756,Take That,2017,7922.0,101
757,Take That,2018,6728.0,88
758,Take That,2019,7797.0,17
759,Take That,2020,9319.0,1
760,Tile Placement,1981,8921.0,5
761,Tile Placement,1982,13901.0,6
762,Tile Placement,1983,8948.0,5
763,Tile Placement,1984,10734.0,3
764,Tile Placement,1985,10062.0,6
765,Tile Placement,1986,9318.0,8
766,Tile Placement,1987,11064.0,6
767,Tile Placement,1988,13252.0,6
768,Tile Placement,1989,9340.0,6
769,Tile Placement,1990,8671.0,3
770,Tile Placement,1991,7781.0,8
771,Tile Placement,1992,6998.0,6
772,Tile Placement,1993,10687.0,8
773,Tile Placement,1994,9369.0,11
774,Tile Placement,1995,6115.0,5
775,Tile Placement,1996,9820.0,15
776,Tile Placement,1997,8911.0,17
777,Tile Placement,1998,8416.0,16
778,Tile Placement,1999,7033.0,20
779,Tile Placement,2000,5198.0,19
780,Tile Placement,2001,8207.0,33
781,Tile Placement,2002,6730.0,34
782,Tile Placement,2003,6381.0,38
783,Tile Placement,2004,5510.0,37
784,Tile Placement,2005,7215.0,43
785,Tile Placement,2006,7017.0,49
786,Tile Placement,2007,7592.0,42
787,Tile Placement,2008,7555.0,52
788,Tile Placement,2009,7700.0,65
789,Tile Placement,2010,7851.0,68
790,Tile Placement,2011,7329.0,66
791,Tile Placement,2012,5884.0,66
792,Tile Placement,2013,6701.0,61
793,Tile Placement,2014,7059.0,78
794,Tile Placement,2015,5982.0,71
795,Tile Placement,2016,6217.0,80
796,Tile Placement,2017,5839.0,95
797,Tile Placement,2018,5399.0,106
798,Tile Placement,2019,6454.0,23
799,Tile Placement,2020,8252.0,2
800,Variable Player Powers,1981,9433.0,6
801,Variable Player Powers,1982,7448.0,7
802,Variable Player Powers,1983,4883.0,9
803,Variable Player Powers,1984,10420.0,2
804,Variable Player Powers,1985,4437.0,7
805,Variable Player Powers,1986,6944.0,6
806,Variable Player Powers,1987,4358.0,5
807,Variable Player Powers,1988,8891.0,3
808,Variable Player Powers,1989,6129.0,9
809,Variable Player Powers,1990,3874.0,7
810,Variable Player Powers,1991,9125.0,9
811,Variable Player Powers,1992,6158.0,8
812,Variable Player Powers,1993,7704.0,11
813,Variable Player Powers,1994,7938.0,12
814,Variable Player Powers,1995,8153.0,14
815,Variable Player Powers,1996,10474.0,11
816,Variable Player Powers,1997,8496.0,16
817,Variable Player Powers,1998,10115.0,14
818,Variable Player Powers,1999,5800.0,12
819,Variable Player Powers,2000,8202.0,23
820,Variable Player Powers,2001,9024.0,21
821,Variable Player Powers,2002,6113.0,31
822,Variable Player Powers,2003,7410.0,34
823,Variable Player Powers,2004,7366.0,50
824,Variable Player Powers,2005,6801.0,36
825,Variable Player Powers,2006,7867.0,44
826,Variable Player Powers,2007,8345.0,46
827,Variable Player Powers,2008,6499.0,41
828,Variable Player Powers,2009,6076.0,58
829,Variable Player Powers,2010,4991.0,66
830,Variable Player Powers,2011,5493.0,82
831,Variable Player Powers,2012,5201.0,102
832,Variable Player Powers,2013,5520.0,132
833,Variable Player Powers,2014,6076.0,137
834,Variable Player Powers,2015,5186.0,201
835,Variable Player Powers,2016,5647.0,198
836,Variable Player Powers,2017,5169.0,220
837,Variable Player Powers,2018,5448.0,197
838,Variable Player Powers,2019,6568.0,53
839,Variable Player Powers,2020,10428.0,3
