,type,year,average_rank,amount
154,Bluffing,2015,7096.0,76
155,Bluffing,2016,7274.0,83
156,Bluffing,2017,7558.0,77
157,Bluffing,2018,8293.0,61
158,Bluffing,2019,7222.0,10
159,Bluffing,2020,7222.0,0
160,Card Game,1981,9968.0,10
161,Card Game,1982,9250.0,10
162,Card Game,1983,9053.0,12
163,Card Game,1984,10913.0,4
164,Card Game,1985,11942.0,5
165,Card Game,1986,12071.0,7
166,Card Game,1987,9787.0,9
167,Card Game,1988,8732.0,11
168,Card Game,1989,11080.0,7
169,Card Game,1990,8313.0,19
170,Card Game,1991,8109.0,13
171,Card Game,1992,9207.0,15
172,Card Game,1993,8971.0,23
173,Card Game,1994,10150.0,21
174,Card Game,1995,8657.0,42
175,Card Game,1996,9821.0,51
176,Card Game,1997,9638.0,54
177,Card Game,1998,9155.0,61
178,Card Game,1999,9248.0,58
179,Card Game,2000,9999.0,66
180,Card Game,2001,9430.0,76
181,Card Game,2002,9597.0,76
182,Card Game,2003,9751.0,106
183,Card Game,2004,9575.0,123
184,Card Game,2005,9761.0,119
185,Card Game,2006,10166.0,110
186,Card Game,2007,9905.0,136
187,Card Game,2008,9030.0,108
188,Card Game,2009,8905.0,144
189,Card Game,2010,8559.0,168
190,Card Game,2011,8056.0,193
191,Card Game,2012,8168.0,257
192,Card Game,2013,8054.0,258
193,Card Game,2014,7781.0,343
194,Card Game,2015,7441.0,385
195,Card Game,2016,7495.0,420
196,Card Game,2017,7137.0,411
197,Card Game,2018,7030.0,297
198,Card Game,2019,5984.0,41
199,Card Game,2020,9319.0,1
200,Children's Game,1981,13049.0,5
201,Children's Game,1982,15063.0,6
202,Children's Game,1983,15799.0,3
203,Children's Game,1984,14158.0,11
204,Children's Game,1985,13357.0,7
205,Children's Game,1986,10449.0,11
206,Children's Game,1987,15205.0,7
207,Children's Game,1988,14214.0,18
208,Children's Game,1989,13274.0,13
209,Children's Game,1990,13733.0,14
210,Children's Game,1991,11445.0,16
211,Children's Game,1992,11562.0,10
212,Children's Game,1993,13172.0,14
