,type,year,average_rank,amount
811,World War II,1992,9066.0,31
812,World War II,1993,9255.0,15
813,World War II,1994,8700.0,22
814,World War II,1995,8514.0,20
815,World War II,1996,9274.0,14
816,World War II,1997,9566.0,16
817,World War II,1998,7737.0,17
818,World War II,1999,8126.0,14
819,World War II,2000,6770.0,12
820,World War II,2001,9059.0,21
821,World War II,2002,5900.0,15
822,World War II,2003,7400.0,25
823,World War II,2004,6182.0,29
824,World War II,2005,7574.0,36
825,World War II,2006,7213.0,26
826,World War II,2007,6623.0,27
827,World War II,2008,6419.0,32
828,World War II,2009,5823.0,44
829,World War II,2010,7500.0,57
830,World War II,2011,6465.0,32
831,World War II,2012,5853.0,32
832,World War II,2013,5822.0,29
833,World War II,2014,6150.0,27
834,World War II,2015,5622.0,35
835,World War II,2016,5922.0,35
836,World War II,2017,7032.0,27
837,World War II,2018,5683.0,17
838,World War II,2019,7143.0,4
839,World War II,2020,7143.0,0
